TrackID,Name,Artist,Genre,Size,TotalTime,Location,AverageBpm,DateAdded,BitRate,SampleRate
97058156,Need Money,Flawx,,41771610,236,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/Need%20Money%20MH1644.wav,150.00,2024-02-15,1411,44100
248867617,Mini Skirt On (Original Mix),IGDA,Techno (Peak Time / Driving),14809769,358,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17646318_Mini%20Skirt%20On_(Original%20Mix).mp3,152.00,2024-02-15,320,44100
219251746,Never Give A Fuck (Extented Mix),"Vortek's, Teksa, Spice Up!",Hard Dance / Hardcore,14653173,303,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17165289_Never%20Give%20A%20Fuck_(Extented%20Mix).mp3,160.00,2024-02-15,320,44100
109923069,Impossible De Rester Sage,Garcia Sauvage ,,102758514,356,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/Garcia%20sauvage%20-%20Impossible%20de%20rester%20sage%20(Master).wav,150.00,2024-02-15,2304,48000
34252029,Medulla (Original Mix),Bad Boombox,Techno (Peak Time / Driving),14007679,324,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/16315182_Medulla_(Original%20Mix).mp3,154.00,2024-02-15,320,44100
125116328,This Is Italy (Original Mix),Zatox,Hard Dance / Hardcore,11093425,267,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/11914838_This%20Is%20Italy_(Original%20Mix).mp3,155.00,2024-02-15,320,44100
248499904,You Can't Stop Me (Extended Mix),Miss K8,Hard Dance / Hardcore,9311304,222,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/16683351_You%20Can_t%20Stop%20Me_(Extended%20Mix).mp3,100.00,2024-02-15,320,44100
242277221,Dark Rooms (Original Mix),Marie Vaunt,Techno (Peak Time / Driving),16664391,384,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18342392_Dark%20Room_(Original%20Mix).mp3,136.00,2024-02-15,320,44100
56583958,No Karma (Original Mix),Vortek's,Hard Techno,14547478,293,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18505265_No%20Karma_(Original%20Mix).mp3,155.00,2024-02-15,320,44100
105987592,Makin' Money Solo (Original Mix),"PALØ, SMBG",Hard Techno,12263103,294,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18019571_Makin_%20Money%20Solo_(Original%20Mix).mp3,160.00,2024-02-15,320,44100
